timestamp,pms,vms,ants,iterations,scenario,elapsed_seconds,ffd_total_power_w,ta_moaco_total_power_w,ta_moaco_savings_pct
1781469153,100,200,10,5,peak,60.57,5247.0,4743.0,9.61
1781469398,100,200,50,15,medium,48.72,5247.0,4743.0,9.61
1781469935,100,200,50,15,medium,86.31,5247.0,4743.0,9.61
1781471248,100,200,10,5,medium,1.64,1504.1,1000.1,33.51
1781471526,100,200,50,15,medium,45.67,5247.0,4743.0,9.61
1781471648,100,200,50,15,medium,43.23,5247.0,4743.0,9.61
1781471829,100,200,10,5,peak,4.75,5408.6,4784.6,11.54
1781472389,100,200,50,15,medium,45.56,5247.0,4743.0,9.61
1781473032,100,200,10,5,medium,3.21,5247.0,4743.0,9.61
1781473486,100,200,10,5,medium,0.26,258.0,258.0,0.0
1781474551,100,200,10,5,medium,1.5,1504.1,1000.1,33.51
1781527030,100,200,10,5,medium,2.8,1504.1,1000.1,33.51
1781527271,100,200,50,15,medium,62.93,5247.0,4743.0,9.61
1781527394,100,200,50,15,medium,60.61,5247.0,4743.0,9.61
