iteration,iteration_best,iteration_best_power_w,iteration_best_hops,global_best,global_best_power_w,global_best_hops,global_best_active_pms,iteration_average,exploration_rate,exploitation_rate
1,5938.1273,4863.0,2.2927,5938.1273,4863.0,2.2927,20,6362.7865,0.22,0.65
2,5950.4643,4863.0,2.3955,5938.1273,4863.0,2.2927,20,6286.7973,0.2043,0.6679
3,5938.0628,4863.0,2.2922,5938.0628,4863.0,2.2922,20,6257.4845,0.1886,0.6857
4,5949.6881,4863.0,2.3891,5938.0628,4863.0,2.2922,20,6239.9994,0.1729,0.7036
5,5925.3791,4863.0,2.1865,5925.3791,4863.0,2.1865,20,6215.7991,0.1571,0.7214
6,5939.931,4863.0,2.3078,5925.3791,4863.0,2.1865,20,6219.8065,0.1414,0.7393
7,5936.5686,4863.0,2.2797,5925.3791,4863.0,2.1865,20,6204.8341,0.1257,0.7571
8,5780.7,4743.0,2.3142,5780.7,4743.0,2.3142,19,6172.4972,0.11,0.775
9,5781.6551,4743.0,2.3221,5780.7,4743.0,2.3142,19,6098.4226,0.0943,0.7929
10,5792.8118,4743.0,2.4151,5780.7,4743.0,2.3142,19,6105.1881,0.0786,0.8107
11,5782.2755,4743.0,2.3273,5780.7,4743.0,2.3142,19,6113.1958,0.0629,0.8286
12,5788.0123,4743.0,2.3751,5780.7,4743.0,2.3142,19,6051.6229,0.0471,0.8464
13,5788.2537,4743.0,2.3771,5780.7,4743.0,2.3142,19,6041.358,0.04,0.8643
14,5776.4584,4743.0,2.2788,5776.4584,4743.0,2.2788,19,6018.1528,0.04,0.8821
15,5789.1513,4743.0,2.3846,5776.4584,4743.0,2.2788,19,6049.3331,0.04,0.9
